latitude,longitude,datetime
50.819201652,-1.311937165,2018-08-29T14:28:24.116454
50.819201652,-1.311937165,2018-08-29T14:28:25.117704
50.819201652,-1.311937165,2018-08-29T14:28:26.118952
50.819201811,-1.311922978,2018-08-29T14:28:27.120242
50.819196132,-1.311922978,2018-08-29T14:28:28.121832
50.819196132,-1.311922978,2018-08-29T14:28:29.123137
50.819196132,-1.311922978,2018-08-29T14:28:30.124403
50.819196132,-1.311922978,2018-08-29T14:28:31.125669
50.819196132,-1.311922978,2018-08-29T14:28:32.126925
50.819189166,-1.311922653,2018-08-29T14:28:33.128188
50.819189166,-1.311922653,2018-08-29T14:28:34.129435
50.819189166,-1.311922653,2018-08-29T14:28:35.130693
50.819176521,-1.311922328,2018-08-29T14:28:36.131946
50.819176521,-1.311922328,2018-08-29T14:28:37.133196
50.819176521,-1.311922328,2018-08-29T14:28:38.134442
50.819169714,-1.311907817,2018-08-29T14:28:39.135696
50.819169874,-1.31189363,2018-08-29T14:28:40.136970
50.819169874,-1.31189363,2018-08-29T14:28:41.138212
50.819157388,-1.311879119,2018-08-29T14:28:42.139459
50.819157388,-1.311879119,2018-08-29T14:28:43.140701
50.819157388,-1.311879119,2018-08-29T14:28:44.141940
50.819144902,-1.311864608,2018-08-29T14:28:45.143184
50.819144902,-1.311864608,2018-08-29T14:28:46.144428
50.819144902,-1.311864608,2018-08-29T14:28:47.145679
50.819132417,-1.311850096,2018-08-29T14:28:48.146951
50.819132417,-1.311850096,2018-08-29T14:28:49.149289
50.819132417,-1.311850096,2018-08-29T14:28:50.150664
50.819126738,-1.311850096,2018-08-29T14:28:51.153882
50.819132576,-1.31183591,2018-08-29T14:28:52.162482
50.819132576,-1.31183591,2018-08-29T14:28:53.166411
50.819145221,-1.311836234,2018-08-29T14:28:54.168832
50.819157867,-1.311836559,2018-08-29T14:28:55.170446
50.819157867,-1.311836559,2018-08-29T14:28:56.176933
50.819164833,-1.311836884,2018-08-29T14:28:57.178379
50.819164833,-1.311836884,2018-08-29T14:28:58.180041
50.819157867,-1.311836559,2018-08-29T14:28:59.182045
50.819157867,-1.311836559,2018-08-29T14:29:00.183185
50.819158026,-1.311822373,2018-08-29T14:29:01.184597
50.819158026,-1.311822373,2018-08-29T14:29:02.186068
50.819158026,-1.311822373,2018-08-29T14:29:03.188401
50.819170671,-1.311822698,2018-08-29T14:29:04.189974
