local_time,pressure,humidity,temperature,wind_average,wind_direction,wind_gust
2018-08-29T12:03:00,1013.9,58,21.8,4.4,14,5.4
2018-08-29T12:04:00,1014,57,21.6,4.4,14,5.4
2018-08-29T12:05:00,1014,57,21.5,4.4,14,5.4
2018-08-29T12:06:00,1013.9,59,21.4,3.7,14,4.1
2018-08-29T12:07:00,1014,59,21.2,4.1,14,5.4
2018-08-29T12:08:00,1014,60,21.1,5.4,14,6.1
2018-08-29T12:09:00,1014,59,21.1,4.8,14,5.4
2018-08-29T12:10:00,1014,60,21.1,5.4,14,6.1
2018-08-29T12:11:00,1014,60,21.2,4.4,14,5.1
2018-08-29T12:12:00,1014,59,21.3,4.4,14,4.8
2018-08-29T12:13:00,1013.9,58,21.2,4.8,14,5.4
2018-08-29T12:14:00,1014,60,20.9,4.1,14,5.8
2018-08-29T12:15:00,1014.1,61,20.4,4.8,14,5.4
2018-08-29T12:16:00,1013.9,62,20.1,4.8,14,5.8
2018-08-29T12:17:00,1014,63,19.8,4.8,14,5.4
2018-08-29T12:18:00,1014.1,64,19.6,4.1,14,5.1
2018-08-29T12:19:00,1014,66,19.6,4.1,14,5.1
2018-08-29T12:20:00,1014.1,66,19.7,3.7,14,4.8
2018-08-29T12:21:00,1014.1,66,19.7,4.1,14,4.8
2018-08-29T12:22:00,1014.1,65,19.8,3.7,14,4.1
2018-08-29T12:23:00,1014.2,64,20,3.7,14,4.4
2018-08-29T12:24:00,1014,64,20.2,3.7,14,5.4
2018-08-29T12:25:00,1014.1,64,20.3,5.1,14,5.8
2018-08-29T12:26:00,1014.1,64,20.4,4.8,14,5.1
2018-08-29T12:27:00,1014.1,64,20,4.8,14,5.4
2018-08-29T12:28:00,1014,64,19.8,5.8,14,6.5
2018-08-29T12:29:00,1014.1,64,19.6,5.4,14,6.1
2018-08-29T12:30:00,1014.1,64,19.5,5.1,14,6.1
2018-08-29T12:31:00,1014.2,65,19.3,5.8,14,6.8
2018-08-29T12:32:00,1014.2,65,19.3,4.8,14,6.1
2018-08-29T12:33:00,1014.1,65,19.5,4.4,14,5.1
2018-08-29T12:34:00,1014.2,65,19.6,5.4,14,6.5
2018-08-29T12:35:00,1014.3,64,19.5,4.8,14,5.1
2018-08-29T12:36:00,1014.2,65,19.5,4.8,14,5.1
2018-08-29T12:37:00,1014.3,65,19.5,4.4,14,5.4
2018-08-29T12:38:00,1014.3,66,19.6,5.4,15,7.1
2018-08-29T12:39:00,1014.3,65,19.6,4.8,15,5.4
2018-08-29T12:40:00,1014.3,65,19.6,4.8,0,5.4
2018-08-29T12:41:00,1014.4,65,19.6,4.4,0,5.1
2018-08-29T12:42:00,1014.3,65,19.5,4.1,0,4.8
2018-08-29T12:43:00,1014.4,65,19.4,4.8,14,6.1
2018-08-29T12:44:00,1014.3,64,19.3,3.7,14,4.4
2018-08-29T12:45:00,1014.2,64,19.2,4.1,14,4.4
2018-08-29T12:46:00,1014.3,64,19.2,4.1,15,4.8
2018-08-29T12:47:00,1014.4,65,19.1,4.1,14,5.1
2018-08-29T12:48:00,1014.3,65,19,5.4,14,5.8
2018-08-29T12:49:00,1014.3,65,19,5.4,14,6.5
2018-08-29T12:50:00,1014.4,66,18.9,6.5,14,6.8
2018-08-29T12:51:00,1014.4,66,18.7,5.4,14,6.1
2018-08-29T12:52:00,1014.3,66,18.6,5.1,14,6.5
2018-08-29T12:53:00,1014.4,67,18.6,6.1,14,7.5
2018-08-29T12:54:00,1014.4,68,18.6,7.1,14,7.5
2018-08-29T12:55:00,1014.4,67,18.5,6.1,14,6.8
2018-08-29T12:56:00,1014.4,67,18.5,5.1,14,6.1
2018-08-29T12:57:00,1014.4,67,18.5,6.5,14,7.1
2018-08-29T12:58:00,1014.3,67,18.5,6.1,14,6.8
2018-08-29T12:59:00,1014.4,67,18.6,5.1,14,5.8
2018-08-29T13:00:00,1014.4,68,18.8,5.8,14,6.8
2018-08-29T13:01:00,1014.5,67,18.8,5.8,14,6.1
2018-08-29T13:02:00,1014.4,67,18.9,6.1,14,7.5
2018-08-29T13:03:00,1014.5,66,18.9,5.4,14,6.8
2018-08-29T13:04:00,1014.4,66,18.9,5.8,14,6.5
2018-08-29T13:05:00,1014.5,66,18.9,6.8,14,7.1
2018-08-29T13:06:00,1014.5,66,18.8,5.8,14,6.5
2018-08-29T13:07:00,1014.6,65,18.7,6.1,14,6.5
2018-08-29T13:08:00,1014.4,66,18.7,5.4,14,6.8
2018-08-29T13:09:00,1014.5,66,18.7,5.8,14,6.5
2018-08-29T13:10:00,1014.4,66,18.6,5.8,14,6.8
2018-08-29T13:11:00,1014.5,66,18.4,4.8,14,5.1
2018-08-29T13:12:00,1014.5,66,18.4,4.4,14,5.1
2018-08-29T13:13:00,1014.5,67,18.4,4.4,14,4.8
2018-08-29T13:14:00,1014.5,67,18.4,4.4,14,4.8
2018-08-29T13:15:00,1014.5,68,18.5,5.1,14,5.8
