local_time,pressure,humidity,temperature,wind_average,wind_direction,wind_gust
2018-08-30T11:36:00,1021.9,61,22.6,0,12,0.7
2018-08-30T11:37:00,1022.2,58,22.6,0,6,0.7
2018-08-30T11:38:00,1022,54,22.6,0.3,12,1.7
2018-08-30T11:39:00,1022,52,22.3,0.3,14,1.4
2018-08-30T11:40:00,1022.1,52,21.9,1.7,0,2.7
2018-08-30T11:41:00,1022,51,22,2.4,0,3.1
2018-08-30T11:42:00,1022.1,50,22,2.4,0,3.1
2018-08-30T11:43:00,1022.2,49,22.1,2.4,0,2.7
2018-08-30T11:44:00,1022.2,48,22.9,2,0,2.7
2018-08-30T11:45:00,1022.1,46,23.1,1,0,1.7
2018-08-30T11:46:00,1022.1,46,23.5,1,0,1.7
2018-08-30T11:47:00,1022.1,45,24.1,1.7,0,2
2018-08-30T11:48:00,1022.1,43,24.4,1.4,2,2.4
2018-08-30T11:49:00,1022.2,43,24.4,1,2,1.4
2018-08-30T11:50:00,1022.2,42,24.7,0.3,2,1
2018-08-30T11:51:00,1022.1,42,25.2,0.3,2,1
2018-08-30T11:52:00,1022.1,38,26.4,1,0,1.4
2018-08-30T11:53:00,1022.2,37,26.8,1.4,0,2.4
2018-08-30T11:54:00,1022.1,35,27.1,0.7,0,1
2018-08-30T11:55:00,1022.2,35,27.4,0.7,1,1
2018-08-30T11:56:00,1022.1,36,28.1,0.7,0,1
2018-08-30T11:57:00,1022,35,28.3,0,2,0.7
2018-08-30T11:58:00,1022,35,28.7,0.3,14,1
2018-08-30T11:59:00,1022,34,29.2,0,12,0.7
2018-08-30T12:00:00,1022.1,34,30.3,1.4,14,2
2018-08-30T12:01:00,1022.1,32,30.7,1.4,14,1.7
2018-08-30T12:02:00,1022.1,31,30.8,1,14,1.7
2018-08-30T12:03:00,1022.1,31,30.9,1.4,0,1.7
2018-08-30T12:04:00,1022.2,30,30.7,2,0,2.7
2018-08-30T12:05:00,1022.1,30,30.7,2,0,2.7
2018-08-30T12:06:00,1022.1,31,29.9,3.4,0,3.7
2018-08-30T12:07:00,1022.1,33,28.9,2.4,2,3.4
2018-08-30T12:08:00,1022.1,32,27.4,1,6,1.7
2018-08-30T12:09:00,1022.1,33,27.2,1,6,1.4
2018-08-30T12:10:00,1022.1,34,26.8,1,5,1.7
2018-08-30T12:11:00,1022,35,26.5,1.4,4,2
2018-08-30T12:12:00,1022.1,37,25.7,1.4,4,1.7
2018-08-30T12:13:00,1022.2,38,25.5,1,4,1.4
2018-08-30T12:14:00,1022.1,38,25.5,1,2,1.4
2018-08-30T12:15:00,1022.2,39,25.5,1,4,1.7
2018-08-30T12:16:00,1022.1,39,25.7,0.3,2,0.7
2018-08-30T12:17:00,1022.1,37,26,0,2,0.3
2018-08-30T12:18:00,1022,37,26.4,0.3,4,0.7
2018-08-30T12:19:00,1022,37,26.9,0.3,14,1
2018-08-30T12:20:00,1022,35,27.8,1,0,1.7
