local_time,pressure,humidity,temperature,wind_average,wind_direction,wind_gust
2018-08-28T12:16:00,1016.8,60,19.4,2,8,2.7
2018-08-28T12:17:00,1016.8,60,19.4,1.7,8,2
2018-08-28T12:18:00,1016.8,61,19.2,1.7,8,2
2018-08-28T12:19:00,1016.8,60,19.2,2,8,2.4
2018-08-28T12:20:00,1016.9,61,19.1,1.7,8,2
2018-08-28T12:21:00,1016.9,61,19,2,6,2.4
2018-08-28T12:22:00,1016.8,62,19,1.4,7,2
2018-08-28T12:23:00,1016.8,63,18.9,1,6,1.4
2018-08-28T12:24:00,1016.7,63,19,1,8,1.4
2018-08-28T12:25:00,1016.7,63,19,1.4,6,1.7
2018-08-28T12:26:00,1016.7,64,19,1.4,6,2
2018-08-28T12:27:00,1016.8,63,19,1.7,6,2
2018-08-28T12:28:00,1016.7,64,19,2,8,2.4
2018-08-28T12:29:00,1016.7,64,19.1,1.4,8,1.7
2018-08-28T12:30:00,1016.7,63,19.1,1.7,8,2.4
2018-08-28T12:31:00,1016.7,63,19.1,1.7,8,2
2018-08-28T12:32:00,1016.7,64,19.1,2.7,8,3.1
2018-08-28T12:33:00,1016.6,64,19.1,2.4,8,3.1
2018-08-28T12:34:00,1016.8,64,19.1,2,8,3.1
2018-08-28T12:35:00,1016.7,64,19.2,3.7,8,4.1
2018-08-28T12:36:00,1016.7,64,19.1,2.7,8,3.1
2018-08-28T12:37:00,1016.7,64,19.1,2.7,8,3.1
2018-08-28T12:38:00,1016.6,64,19.1,2.7,8,3.4
2018-08-28T12:39:00,1016.6,64,19.1,2.7,8,3.7
2018-08-28T12:40:00,1016.7,65,19.1,3.4,8,4.1
2018-08-28T12:41:00,1016.6,65,19.1,3.4,8,3.7
2018-08-28T12:42:00,1016.6,65,19.1,3.7,8,4.8
2018-08-28T12:43:00,1016.6,65,19,3.7,8,4.1
2018-08-28T12:44:00,1016.6,65,19,2.4,8,3.1
2018-08-28T12:45:00,1016.6,65,19,2.7,8,3.4
2018-08-28T12:46:00,1016.6,66,19,3.4,8,4.1
2018-08-28T12:47:00,1016.7,67,19,3.4,8,4.1
2018-08-28T12:48:00,1016.6,67,19,3.4,10,4.1
2018-08-28T12:49:00,1016.6,65,19,1.4,10,2.7
2018-08-28T12:50:00,1016.6,65,19.1,1.7,10,2.7
2018-08-28T12:51:00,1016.6,65,19.2,2,14,3.4
2018-08-28T12:52:00,1016.6,64,19.3,1,12,1.7
2018-08-28T12:53:00,1016.5,64,19.4,0.7,8,1
2018-08-28T12:54:00,1016.6,64,19.6,0.7,10,1
2018-08-28T12:55:00,1016.5,64,19.7,0.3,8,0.7
2018-08-28T12:56:00,1016.5,63,20.1,0.7,8,1.4
2018-08-28T12:57:00,1016.5,63,20.2,0.7,8,1
2018-08-28T12:58:00,1016.6,62,20.3,1,8,1.7
2018-08-28T12:59:00,1016.5,62,20.3,1,8,1.7
2018-08-28T13:00:00,1016.5,61,20.4,1,8,1.4
2018-08-28T13:01:00,1016.5,61,20.4,0.7,10,1
2018-08-28T13:02:00,1016.5,62,20.5,0.3,10,0.7
2018-08-28T13:03:00,1016.5,62,20.6,0.3,12,1.4
2018-08-28T13:04:00,1016.5,59,21,0.7,12,1.7
2018-08-28T13:05:00,1016.5,59,21.1,1.4,10,1.7
2018-08-28T13:06:00,1016.6,58,21.1,2.4,10,2.7
2018-08-28T13:07:00,1016.6,57,21.1,2,10,2.7
2018-08-28T13:08:00,1016.4,57,21,1,10,1.7
2018-08-28T13:09:00,1016.4,58,20.9,1.4,12,1.7
2018-08-28T13:10:00,1016.4,58,20.9,1,10,1.4
2018-08-28T13:11:00,1016.4,58,20.9,0.7,8,1
2018-08-28T13:12:00,1016.4,57,21,0.3,8,1
2018-08-28T13:13:00,1016.4,57,21.3,0.3,6,0.7
